2018-09-12 09:53:31,400 - models/traditional_chinese_bilstm/log/train.log - INFO - model_type     :	idcnn
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - num_chars      :	7147
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - char_dim       :	100
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - num_tags       :	17
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - seg_dim        :	20
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - lstm_dim       :	100
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - batch_size     :	20
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - emb_file       :	./extra_data/sc/w2v_model/zhwiki-embeddings-100.txt
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - clip           :	5
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - dropout_keep   :	0.5
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - optimizer      :	adam
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - lr             :	0.001
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - tag_schema     :	iobes
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - pre_emb        :	True
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - zeros          :	False
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - lower          :	True
2018-09-12 09:53:32,192 - models/traditional_chinese_bilstm/log/train.log - INFO - Created model with fresh parameters.
2018-09-12 09:53:33,263 - models/traditional_chinese_bilstm/log/train.log - INFO - Load pre-trained embedding.
2018-09-12 09:53:33,264 - models/traditional_chinese_bilstm/log/train.log - INFO - start training
2018-09-12 09:54:22,196 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1600/16782, NER loss: 9.235255
2018-09-12 09:54:24,764 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1700/16782, NER loss: 9.401118
2018-09-12 09:54:27,598 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1800/16782, NER loss:10.065565
2018-09-12 09:54:30,263 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1900/16782, NER loss: 9.167702
2018-09-12 09:54:32,757 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2000/16782, NER loss: 8.314884
2018-09-12 09:54:36,023 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2100/16782, NER loss:11.670775
2018-09-12 09:54:38,631 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2200/16782, NER loss: 8.487518
2018-09-12 09:54:41,364 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2300/16782, NER loss: 8.644103
2018-09-12 09:54:43,827 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2400/16782, NER loss: 7.142208
2018-09-12 09:54:46,910 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2500/16782, NER loss: 8.657167
2018-09-12 09:54:49,869 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2600/16782, NER loss: 7.822759
2018-09-12 09:54:53,305 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2700/16782, NER loss:13.366317
2018-09-12 09:54:55,925 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2800/16782, NER loss: 8.078880
2018-09-12 09:54:58,473 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:2900/16782, NER loss: 7.194414
2018-09-12 09:55:00,896 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3000/16782, NER loss: 6.708728
2018-09-12 09:55:03,687 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3100/16782, NER loss: 7.688520
2018-09-12 09:55:06,580 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3200/16782, NER loss: 8.255454
2018-09-12 09:55:09,593 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3300/16782, NER loss: 8.046662
2018-09-12 09:55:12,544 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3400/16782, NER loss: 8.114758
2018-09-12 09:55:15,316 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3500/16782, NER loss: 7.032232
2018-09-12 09:55:17,973 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3600/16782, NER loss: 6.819440
2018-09-12 09:55:20,507 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3700/16782, NER loss: 6.202658
2018-09-12 09:55:23,294 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3800/16782, NER loss: 7.313342
2018-09-12 09:55:26,071 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:3900/16782, NER loss: 6.690543
2018-09-12 09:55:28,586 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4000/16782, NER loss: 5.830223
2018-09-12 09:55:31,440 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4100/16782, NER loss: 7.195252
2018-09-12 09:55:33,981 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4200/16782, NER loss: 6.115960
2018-09-12 09:55:37,196 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4300/16782, NER loss: 8.007754
2018-09-12 09:55:39,990 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4400/16782, NER loss: 6.496585
2018-09-12 09:55:42,878 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4500/16782, NER loss: 7.201174
2018-09-12 09:55:45,380 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4600/16782, NER loss: 5.490928
2018-09-12 09:55:48,168 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4700/16782, NER loss: 5.812805
2018-09-12 09:55:50,775 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4800/16782, NER loss: 5.868196
2018-09-12 09:55:53,217 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:4900/16782, NER loss: 5.302145
2018-09-12 09:55:55,545 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5000/16782, NER loss: 4.911837
2018-09-12 09:55:58,134 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5100/16782, NER loss: 5.536798
2018-09-12 09:56:00,805 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5200/16782, NER loss: 6.132559
2018-09-12 09:56:03,209 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5300/16782, NER loss: 5.113991
2018-09-12 09:56:05,824 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5400/16782, NER loss: 5.801074
2018-09-12 09:56:08,751 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5500/16782, NER loss: 6.602023
2018-09-12 09:56:11,628 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5600/16782, NER loss: 6.582982
2018-09-12 09:56:14,225 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5700/16782, NER loss: 5.633236
2018-09-12 09:56:16,560 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5800/16782, NER loss: 4.830926
2018-09-12 09:56:19,136 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:5900/16782, NER loss: 5.168519
2018-09-12 09:56:22,103 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6000/16782, NER loss: 6.508619
2018-09-12 09:56:24,666 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6100/16782, NER loss: 5.050814
2018-09-12 09:56:27,472 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6200/16782, NER loss: 5.766456
2018-09-12 09:56:30,051 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6300/16782, NER loss: 5.429663
2018-09-12 09:56:32,666 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6400/16782, NER loss: 5.151830
2018-09-12 09:56:35,137 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6500/16782, NER loss: 4.990062
2018-09-12 09:56:37,844 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6600/16782, NER loss: 5.389763
2018-09-12 09:56:40,500 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6700/16782, NER loss: 5.428187
2018-09-12 09:56:43,130 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6800/16782, NER loss: 5.233591
2018-09-12 09:56:45,609 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:6900/16782, NER loss: 5.258737
2018-09-12 09:56:48,164 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7000/16782, NER loss: 5.002175
2018-09-12 09:56:50,546 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7100/16782, NER loss: 4.578212
2018-09-12 09:56:52,903 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7200/16782, NER loss: 4.280826
2018-09-12 09:56:55,332 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7300/16782, NER loss: 4.392205
2018-09-12 09:56:57,956 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7400/16782, NER loss: 5.180616
2018-09-12 09:57:00,611 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7500/16782, NER loss: 5.067877
2018-09-12 09:57:03,156 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7600/16782, NER loss: 4.894837
2018-09-12 09:57:06,173 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7700/16782, NER loss: 5.975504
2018-09-12 09:57:08,780 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7800/16782, NER loss: 5.015460
2018-09-12 09:57:11,340 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:7900/16782, NER loss: 4.830633
2018-09-12 09:57:13,734 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8000/16782, NER loss: 4.310189
2018-09-12 09:57:16,822 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8100/16782, NER loss: 5.966017
2018-09-12 09:57:20,084 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8200/16782, NER loss: 6.739527
2018-09-12 09:57:22,544 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8300/16782, NER loss: 4.492104
2018-09-12 09:57:25,138 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8400/16782, NER loss: 4.751920
2018-09-12 09:57:27,462 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8500/16782, NER loss: 3.824069
2018-09-12 09:57:30,226 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8600/16782, NER loss: 5.336295
2018-09-12 09:57:32,885 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8700/16782, NER loss: 4.909403
2018-09-12 09:57:35,329 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8800/16782, NER loss: 4.090277
2018-09-12 09:57:38,125 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:8900/16782, NER loss: 5.229433
2018-09-12 09:57:40,669 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9000/16782, NER loss: 4.712442
2018-09-12 09:57:43,474 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9100/16782, NER loss: 4.968935
2018-09-12 09:57:46,252 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9200/16782, NER loss: 5.000723
2018-09-12 09:57:48,656 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9300/16782, NER loss: 4.251400
2018-09-12 09:57:51,328 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9400/16782, NER loss: 5.098856
2018-09-12 09:57:53,998 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9500/16782, NER loss: 4.958868
2018-09-12 09:57:56,515 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9600/16782, NER loss: 4.646013
2018-09-12 09:57:59,046 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9700/16782, NER loss: 4.543344
2018-09-12 09:58:01,727 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9800/16782, NER loss: 5.043909
2018-09-12 09:58:04,432 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:9900/16782, NER loss: 5.049197
2018-09-12 09:58:06,881 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10000/16782, NER loss: 4.253962
2018-09-12 09:58:09,354 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10100/16782, NER loss: 4.457251
2018-09-12 09:58:12,024 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10200/16782, NER loss: 5.001313
2018-09-12 09:58:14,885 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10300/16782, NER loss: 5.115267
2018-09-12 09:58:17,441 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10400/16782, NER loss: 4.514798
2018-09-12 09:58:20,285 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10500/16782, NER loss: 5.139874
2018-09-12 09:58:23,013 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10600/16782, NER loss: 4.881370
2018-09-12 09:58:25,551 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10700/16782, NER loss: 4.285057
2018-09-12 09:58:28,216 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10800/16782, NER loss: 4.630441
2018-09-12 09:58:30,973 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:10900/16782, NER loss: 5.124635
2018-09-12 09:58:33,597 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11000/16782, NER loss: 4.753215
2018-09-12 09:58:37,042 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11100/16782, NER loss: 6.615314
2018-09-12 09:58:39,658 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11200/16782, NER loss: 4.521246
2018-09-12 09:58:41,863 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11300/16782, NER loss: 3.568948
2018-09-12 09:58:44,611 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11400/16782, NER loss: 4.769598
2018-09-12 09:58:46,998 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11500/16782, NER loss: 4.215293
2018-09-12 09:58:49,671 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11600/16782, NER loss: 4.536837
2018-09-12 09:58:52,579 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11700/16782, NER loss: 5.246874
2018-09-12 09:58:55,086 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11800/16782, NER loss: 4.463626
2018-09-12 09:58:57,549 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:11900/16782, NER loss: 4.195043
2018-09-12 09:59:00,272 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12000/16782, NER loss: 4.860174
2018-09-12 09:59:03,056 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12100/16782, NER loss: 5.041468
2018-09-12 09:59:05,780 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12200/16782, NER loss: 4.882785
2018-09-12 09:59:08,385 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12300/16782, NER loss: 4.540904
2018-09-12 09:59:11,126 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12400/16782, NER loss: 4.831342
2018-09-12 09:59:13,706 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12500/16782, NER loss: 4.414875
2018-09-12 09:59:16,263 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12600/16782, NER loss: 4.156314
2018-09-12 09:59:18,940 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12700/16782, NER loss: 4.759210
2018-09-12 09:59:21,569 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12800/16782, NER loss: 4.418365
2018-09-12 09:59:23,817 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:12900/16782, NER loss: 3.397557
2018-09-12 09:59:26,665 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13000/16782, NER loss: 4.693063
2018-09-12 09:59:29,433 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13100/16782, NER loss: 4.766084
2018-09-12 09:59:31,982 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13200/16782, NER loss: 4.415473
2018-09-12 09:59:34,570 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13300/16782, NER loss: 4.382655
2018-09-12 09:59:37,340 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13400/16782, NER loss: 4.647943
2018-09-12 09:59:40,087 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13500/16782, NER loss: 4.754127
2018-09-12 09:59:42,677 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13600/16782, NER loss: 4.194762
2018-09-12 09:59:45,069 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13700/16782, NER loss: 3.927562
2018-09-12 09:59:47,495 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13800/16782, NER loss: 4.220670
2018-09-12 09:59:50,032 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:13900/16782, NER loss: 4.322351
2018-09-12 09:59:52,762 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14000/16782, NER loss: 4.843740
2018-09-12 09:59:55,409 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14100/16782, NER loss: 4.679866
2018-09-12 09:59:57,849 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14200/16782, NER loss: 4.042640
2018-09-12 10:00:00,363 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14300/16782, NER loss: 4.009965
2018-09-12 10:00:02,969 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14400/16782, NER loss: 4.473100
2018-09-12 10:00:05,388 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14500/16782, NER loss: 3.890813
2018-09-12 10:00:08,108 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14600/16782, NER loss: 4.304665
2018-09-12 10:00:10,745 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14700/16782, NER loss: 4.482151
2018-09-12 10:00:13,506 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14800/16782, NER loss: 4.616227
2018-09-12 10:00:15,956 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:14900/16782, NER loss: 3.903556
2018-09-12 10:00:18,831 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15000/16782, NER loss: 4.891226
2018-09-12 10:00:21,659 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15100/16782, NER loss: 4.868412
2018-09-12 10:00:24,161 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15200/16782, NER loss: 3.818131
2018-09-12 10:00:27,129 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15300/16782, NER loss: 5.172727
2018-09-12 10:00:29,786 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15400/16782, NER loss: 4.160601
2018-09-12 10:00:32,550 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15500/16782, NER loss: 4.642035
2018-09-12 10:00:35,366 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15600/16782, NER loss: 4.640855
2018-09-12 10:00:37,762 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15700/16782, NER loss: 3.760108
2018-09-12 10:00:40,384 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15800/16782, NER loss: 4.327324
2018-09-12 10:00:42,796 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:15900/16782, NER loss: 3.902103
2018-09-12 10:00:45,751 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16000/16782, NER loss: 5.041153
2018-09-12 10:00:48,734 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16100/16782, NER loss: 4.981746
2018-09-12 10:00:51,573 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16200/16782, NER loss: 4.620600
2018-09-12 10:00:54,136 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16300/16782, NER loss: 4.015259
2018-09-12 10:00:56,526 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16400/16782, NER loss: 3.835486
2018-09-12 10:00:59,263 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16500/16782, NER loss: 4.434542
2018-09-12 10:01:01,895 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16600/16782, NER loss: 4.111933
2018-09-12 10:01:04,514 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:16700/16782, NER loss: 4.381450
2018-09-12 10:01:06,788 - models/traditional_chinese_bilstm/log/train.log - INFO - evaluate:dev
2018-09-12 10:02:07,486 - models/traditional_chinese_bilstm/log/train.log - INFO - processed 2624152 tokens with 117249 phrases; found: 103528 phrases; correct: 72432.

2018-09-12 10:02:07,486 - models/traditional_chinese_bilstm/log/train.log - INFO - accuracy:  94.49%; precision:  69.96%; recall:  61.78%; FB1:  65.62

2018-09-12 10:02:07,486 - models/traditional_chinese_bilstm/log/train.log - INFO -               LOC: precision:  64.18%; recall:  69.57%; FB1:  66.77  60744

2018-09-12 10:02:07,486 - models/traditional_chinese_bilstm/log/train.log - INFO -               ORG: precision:  54.13%; recall:  18.25%; FB1:  27.30  4066

2018-09-12 10:02:07,486 - models/traditional_chinese_bilstm/log/train.log - INFO -               PER: precision:  80.42%; recall:  51.37%; FB1:  62.69  15768

2018-09-12 10:02:07,486 - models/traditional_chinese_bilstm/log/train.log - INFO -              TIME: precision:  80.88%; recall:  75.88%; FB1:  78.30  22950

2018-09-12 10:02:07,557 - models/traditional_chinese_bilstm/log/train.log - INFO - new best dev f1 score:65.620
2018-09-12 10:02:07,790 - models/traditional_chinese_bilstm/log/train.log - INFO - model saved
2018-09-12 10:02:07,813 - models/traditional_chinese_bilstm/log/train.log - INFO - evaluate:test
2018-09-12 10:03:17,627 - models/traditional_chinese_bilstm/log/train.log - INFO - processed 3097665 tokens with 139085 phrases; found: 122177 phrases; correct: 85516.

2018-09-12 10:03:17,627 - models/traditional_chinese_bilstm/log/train.log - INFO - accuracy:  94.42%; precision:  69.99%; recall:  61.48%; FB1:  65.46

2018-09-12 10:03:17,627 - models/traditional_chinese_bilstm/log/train.log - INFO -               LOC: precision:  63.94%; recall:  69.68%; FB1:  66.68  72113

2018-09-12 10:03:17,627 - models/traditional_chinese_bilstm/log/train.log - INFO -               ORG: precision:  54.69%; recall:  17.93%; FB1:  27.01  4809

