2018-09-14 11:31:38,330 - models/simple_chinese_bilstm/log/train.log - INFO - model_type     :	idcnn
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - num_chars      :	6874
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - char_dim       :	100
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - num_tags       :	17
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - seg_dim        :	20
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - lstm_dim       :	100
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - batch_size     :	20
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - emb_file       :	./extra_data/sc/w2v_model/zhwiki-embeddings-100.txt
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - clip           :	5
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - dropout_keep   :	0.5
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - optimizer      :	adam
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - lr             :	0.001
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - tag_schema     :	iobes
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - pre_emb        :	True
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - zeros          :	False
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - lower          :	True
2018-09-14 11:31:39,183 - models/simple_chinese_bilstm/log/train.log - INFO - Created model with fresh parameters.
2018-09-14 11:31:40,784 - models/simple_chinese_bilstm/log/train.log - INFO - Load pre-trained embedding.
2018-09-14 11:31:40,784 - models/simple_chinese_bilstm/log/train.log - INFO - start training
2018-09-14 11:32:25,788 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1600/16782, NER loss: 8.749700
2018-09-14 11:32:28,260 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1700/16782, NER loss: 8.665601
2018-09-14 11:32:30,881 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1800/16782, NER loss: 9.646285
2018-09-14 11:32:33,623 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1900/16782, NER loss: 9.700773
2018-09-14 11:32:36,451 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2000/16782, NER loss:10.288749
2018-09-14 11:32:38,999 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2100/16782, NER loss: 8.212799
2018-09-14 11:32:41,523 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2200/16782, NER loss: 7.942634
2018-09-14 11:32:44,320 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2300/16782, NER loss: 8.982619
2018-09-14 11:32:46,996 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2400/16782, NER loss: 8.176199
2018-09-14 11:32:49,995 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2500/16782, NER loss: 9.413700
2018-09-14 11:32:52,588 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2600/16782, NER loss: 7.638386
2018-09-14 11:32:55,125 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2700/16782, NER loss: 6.816621
2018-09-14 11:32:57,585 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2800/16782, NER loss: 6.792603
2018-09-14 11:32:59,918 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:2900/16782, NER loss: 6.255949
2018-09-14 11:33:02,731 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3000/16782, NER loss: 7.560708
2018-09-14 11:33:05,443 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3100/16782, NER loss: 7.063632
2018-09-14 11:33:07,794 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3200/16782, NER loss: 5.816569
2018-09-14 11:33:10,781 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3300/16782, NER loss: 8.229275
2018-09-14 11:33:13,282 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3400/16782, NER loss: 6.685809
2018-09-14 11:33:15,894 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3500/16782, NER loss: 6.798603
2018-09-14 11:33:18,800 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3600/16782, NER loss: 7.612003
2018-09-14 11:33:21,197 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3700/16782, NER loss: 5.596375
2018-09-14 11:33:23,635 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3800/16782, NER loss: 5.721593
2018-09-14 11:33:26,489 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:3900/16782, NER loss: 6.960955
2018-09-14 11:33:28,868 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4000/16782, NER loss: 5.837273
2018-09-14 11:33:31,473 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4100/16782, NER loss: 5.992329
2018-09-14 11:33:34,272 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4200/16782, NER loss: 6.766772
2018-09-14 11:33:36,785 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4300/16782, NER loss: 5.226004
2018-09-14 11:33:39,137 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4400/16782, NER loss: 5.241484
2018-09-14 11:33:41,783 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4500/16782, NER loss: 6.145886
2018-09-14 11:33:44,431 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4600/16782, NER loss: 5.892941
2018-09-14 11:33:47,029 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4700/16782, NER loss: 5.754109
2018-09-14 11:33:49,752 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4800/16782, NER loss: 6.252145
2018-09-14 11:33:52,352 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:4900/16782, NER loss: 5.485613
2018-09-14 11:33:55,294 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5000/16782, NER loss: 6.454275
2018-09-14 11:33:57,513 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5100/16782, NER loss: 4.485630
2018-09-14 11:34:00,113 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5200/16782, NER loss: 5.480785
2018-09-14 11:34:02,994 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5300/16782, NER loss: 6.214340
2018-09-14 11:34:05,712 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5400/16782, NER loss: 5.550993
2018-09-14 11:34:09,110 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5500/16782, NER loss:10.075552
2018-09-14 11:34:11,702 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5600/16782, NER loss: 6.126663
2018-09-14 11:34:14,121 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5700/16782, NER loss: 5.018559
2018-09-14 11:34:16,454 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5800/16782, NER loss: 4.820193
2018-09-14 11:34:18,970 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:5900/16782, NER loss: 5.343277
2018-09-14 11:34:21,838 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6000/16782, NER loss: 5.949571
2018-09-14 11:34:24,604 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6100/16782, NER loss: 5.644498
2018-09-14 11:34:27,153 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6200/16782, NER loss: 4.990432
2018-09-14 11:34:29,896 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6300/16782, NER loss: 5.495983
2018-09-14 11:34:32,276 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6400/16782, NER loss: 4.723302
2018-09-14 11:34:34,725 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6500/16782, NER loss: 4.886542
2018-09-14 11:34:37,862 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6600/16782, NER loss: 6.465007
2018-09-14 11:34:40,165 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6700/16782, NER loss: 4.320569
2018-09-14 11:34:42,853 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6800/16782, NER loss: 5.046486
2018-09-14 11:34:45,636 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:6900/16782, NER loss: 5.306836
2018-09-14 11:34:48,227 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7000/16782, NER loss: 4.884861
2018-09-14 11:34:50,564 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7100/16782, NER loss: 4.346104
2018-09-14 11:34:53,079 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7200/16782, NER loss: 4.878493
2018-09-14 11:34:55,859 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7300/16782, NER loss: 5.080132
2018-09-14 11:34:58,475 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7400/16782, NER loss: 4.996305
2018-09-14 11:35:01,117 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7500/16782, NER loss: 5.015972
2018-09-14 11:35:03,853 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7600/16782, NER loss: 5.286911
2018-09-14 11:35:06,275 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7700/16782, NER loss: 4.325976
2018-09-14 11:35:08,756 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7800/16782, NER loss: 4.031179
2018-09-14 11:35:11,236 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:7900/16782, NER loss: 4.660006
2018-09-14 11:35:14,345 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8000/16782, NER loss: 5.899083
2018-09-14 11:35:16,766 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8100/16782, NER loss: 4.275402
2018-09-14 11:35:19,660 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8200/16782, NER loss: 5.249529
2018-09-14 11:35:22,468 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8300/16782, NER loss: 5.358958
2018-09-14 11:35:25,167 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8400/16782, NER loss: 4.807740
2018-09-14 11:35:27,747 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8500/16782, NER loss: 4.636188
2018-09-14 11:35:30,306 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8600/16782, NER loss: 4.879148
2018-09-14 11:35:33,216 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8700/16782, NER loss: 5.340269
2018-09-14 11:35:35,921 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8800/16782, NER loss: 4.779826
2018-09-14 11:35:38,524 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:8900/16782, NER loss: 4.256589
2018-09-14 11:35:41,046 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9000/16782, NER loss: 4.221176
2018-09-14 11:35:44,023 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9100/16782, NER loss: 5.493075
2018-09-14 11:35:46,535 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9200/16782, NER loss: 4.116240
2018-09-14 11:35:49,776 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9300/16782, NER loss: 5.109750
2018-09-14 11:35:52,453 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9400/16782, NER loss: 4.687521
2018-09-14 11:35:55,146 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9500/16782, NER loss: 4.852709
2018-09-14 11:35:57,596 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9600/16782, NER loss: 4.017832
2018-09-14 11:36:00,167 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9700/16782, NER loss: 4.355078
2018-09-14 11:36:02,872 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9800/16782, NER loss: 4.473391
2018-09-14 11:36:05,762 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:9900/16782, NER loss: 4.857641
2018-09-14 11:36:08,370 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10000/16782, NER loss: 4.313643
2018-09-14 11:36:11,084 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10100/16782, NER loss: 4.639748
2018-09-14 11:36:13,722 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10200/16782, NER loss: 4.236578
2018-09-14 11:36:16,231 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10300/16782, NER loss: 3.853386
2018-09-14 11:36:18,678 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10400/16782, NER loss: 3.760725
2018-09-14 11:36:21,398 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10500/16782, NER loss: 4.204002
2018-09-14 11:36:24,166 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10600/16782, NER loss: 4.656022
2018-09-14 11:36:26,668 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10700/16782, NER loss: 3.949796
2018-09-14 11:36:29,303 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10800/16782, NER loss: 4.197060
2018-09-14 11:36:32,026 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:10900/16782, NER loss: 4.387382
2018-09-14 11:36:34,762 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11000/16782, NER loss: 4.396369
2018-09-14 11:36:37,351 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11100/16782, NER loss: 4.196818
2018-09-14 11:36:39,832 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11200/16782, NER loss: 3.898173
2018-09-14 11:36:42,511 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11300/16782, NER loss: 4.465593
2018-09-14 11:36:45,143 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11400/16782, NER loss: 4.456950
2018-09-14 11:36:48,046 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11500/16782, NER loss: 4.971055
2018-09-14 11:36:50,754 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11600/16782, NER loss: 4.438107
2018-09-14 11:36:53,314 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11700/16782, NER loss: 4.263934
2018-09-14 11:36:55,890 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11800/16782, NER loss: 4.410526
2018-09-14 11:36:58,428 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:11900/16782, NER loss: 4.289056
2018-09-14 11:37:00,883 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12000/16782, NER loss: 4.068651
2018-09-14 11:37:03,688 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12100/16782, NER loss: 4.747660
2018-09-14 11:37:06,268 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12200/16782, NER loss: 4.243097
2018-09-14 11:37:08,778 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12300/16782, NER loss: 4.172317
2018-09-14 11:37:11,052 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12400/16782, NER loss: 3.386318
2018-09-14 11:37:14,197 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12500/16782, NER loss: 5.862581
2018-09-14 11:37:16,650 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12600/16782, NER loss: 3.987910
2018-09-14 11:37:19,119 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12700/16782, NER loss: 3.936180
2018-09-14 11:37:21,561 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12800/16782, NER loss: 3.885250
2018-09-14 11:37:23,834 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:12900/16782, NER loss: 3.591418
2018-09-14 11:37:26,484 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13000/16782, NER loss: 4.541935
2018-09-14 11:37:29,248 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13100/16782, NER loss: 4.666545
2018-09-14 11:37:32,038 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13200/16782, NER loss: 4.798437
2018-09-14 11:37:34,861 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13300/16782, NER loss: 4.839257
2018-09-14 11:37:37,340 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13400/16782, NER loss: 3.725909
2018-09-14 11:37:40,176 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13500/16782, NER loss: 4.806160
2018-09-14 11:37:42,595 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13600/16782, NER loss: 3.896850
2018-09-14 11:37:45,285 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13700/16782, NER loss: 4.351984
2018-09-14 11:37:47,671 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13800/16782, NER loss: 3.763261
2018-09-14 11:37:50,357 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:13900/16782, NER loss: 4.308681
2018-09-14 11:37:52,913 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14000/16782, NER loss: 4.166548
2018-09-14 11:37:55,346 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14100/16782, NER loss: 3.844112
2018-09-14 11:37:58,075 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14200/16782, NER loss: 4.545436
2018-09-14 11:38:01,052 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14300/16782, NER loss: 5.068705
2018-09-14 11:38:03,689 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14400/16782, NER loss: 4.226566
2018-09-14 11:38:06,064 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14500/16782, NER loss: 3.584361
2018-09-14 11:38:08,517 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14600/16782, NER loss: 3.874115
2018-09-14 11:38:11,470 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14700/16782, NER loss: 5.029380
2018-09-14 11:38:13,944 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14800/16782, NER loss: 3.929851
2018-09-14 11:38:16,727 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:14900/16782, NER loss: 4.490018
2018-09-14 11:38:19,236 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15000/16782, NER loss: 3.707709
2018-09-14 11:38:21,827 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15100/16782, NER loss: 4.231530
2018-09-14 11:38:24,251 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15200/16782, NER loss: 3.987362
2018-09-14 11:38:27,050 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15300/16782, NER loss: 4.525481
2018-09-14 11:38:29,436 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15400/16782, NER loss: 3.670355
2018-09-14 11:38:32,129 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15500/16782, NER loss: 4.208374
2018-09-14 11:38:34,765 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15600/16782, NER loss: 3.592427
2018-09-14 11:38:37,365 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15700/16782, NER loss: 4.035676
2018-09-14 11:38:39,997 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15800/16782, NER loss: 3.867998
2018-09-14 11:38:42,746 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:15900/16782, NER loss: 4.214608
2018-09-14 11:38:45,228 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16000/16782, NER loss: 3.665725
2018-09-14 11:38:48,000 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16100/16782, NER loss: 4.564536
2018-09-14 11:38:50,659 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16200/16782, NER loss: 4.309443
2018-09-14 11:38:53,650 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16300/16782, NER loss: 4.873800
2018-09-14 11:38:56,171 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16400/16782, NER loss: 3.937610
2018-09-14 11:38:58,784 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16500/16782, NER loss: 3.992318
2018-09-14 11:39:01,579 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16600/16782, NER loss: 4.402467
2018-09-14 11:39:04,370 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:16700/16782, NER loss: 4.398646
2018-09-14 11:39:06,466 - models/simple_chinese_bilstm/log/train.log - INFO - evaluate:dev
2018-09-14 11:40:08,098 - models/simple_chinese_bilstm/log/train.log - INFO - processed 2622378 tokens with 117557 phrases; found: 104346 phrases; correct: 75023.

2018-09-14 11:40:08,098 - models/simple_chinese_bilstm/log/train.log - INFO - accuracy:  94.75%; precision:  71.90%; recall:  63.82%; FB1:  67.62

2018-09-14 11:40:08,098 - models/simple_chinese_bilstm/log/train.log - INFO -               LOC: precision:  67.70%; recall:  72.12%; FB1:  69.84  59415

2018-09-14 11:40:08,098 - models/simple_chinese_bilstm/log/train.log - INFO -               ORG: precision:  51.50%; recall:  25.33%; FB1:  33.96  6083

2018-09-14 11:40:08,098 - models/simple_chinese_bilstm/log/train.log - INFO -               PER: precision:  80.92%; recall:  50.99%; FB1:  62.56  15532

2018-09-14 11:40:08,098 - models/simple_chinese_bilstm/log/train.log - INFO -              TIME: precision:  81.91%; recall:  77.12%; FB1:  79.45  23316

2018-09-14 11:40:08,156 - models/simple_chinese_bilstm/log/train.log - INFO - new best dev f1 score:67.620
2018-09-14 11:40:08,364 - models/simple_chinese_bilstm/log/train.log - INFO - model saved
2018-09-14 11:40:08,384 - models/simple_chinese_bilstm/log/train.log - INFO - evaluate:test
2018-09-14 11:41:20,084 - models/simple_chinese_bilstm/log/train.log - INFO - processed 3086334 tokens with 138177 phrases; found: 122669 phrases; correct: 88656.

2018-09-14 11:41:20,084 - models/simple_chinese_bilstm/log/train.log - INFO - accuracy:  94.81%; precision:  72.27%; recall:  64.16%; FB1:  67.98

2018-09-14 11:41:20,084 - models/simple_chinese_bilstm/log/train.log - INFO -               LOC: precision:  68.10%; recall:  72.20%; FB1:  70.09  69674

2018-09-14 11:41:20,084 - models/simple_chinese_bilstm/log/train.log - INFO -               ORG: precision:  52.19%; recall:  25.67%; FB1:  34.41  7124

2018-09-14 11:41:20,084 - models/simple_chinese_bilstm/log/train.log - INFO -               PER: precision:  81.85%; recall:  52.01%; FB1:  63.61  18599

2018-09-14 11:41:20,084 - models/simple_chinese_bilstm/log/train.log - INFO -              TIME: precision:  81.66%; recall:  77.56%; FB1:  79.56  27272

2018-09-14 11:41:20,164 - models/simple_chinese_bilstm/log/train.log - INFO - new best test f1 score:67.980
2018-09-14 11:41:20,790 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:2 step:18/16782, NER loss: 4.209430
